#{"t_start": 1656361109.5738537, "env_id": "IK-Gazebo-v0"}
r,l,t
14.464667,1,3.837443
11.835636,1,3.930343
10.960256,1,3.993873
8.558358,1,4.055492
4.079261,1,4.112176
8.02068,1,4.175306
8.827776,1,4.236268
4.527227,1,4.293931
16.826384,1,4.355587
18.700414,1,4.452515
7.78332,1,4.574041
9.47383,1,4.691584
13.931787,1,4.800845
8.017236,1,4.89376
13.151902,1,4.962855
8.127501,1,5.023045
6.357004,1,5.079752
11.889113,1,5.156775
9.813838,1,5.215863
6.132181,1,5.286947
7.503642,1,5.345896
10.697477,1,5.44012
5.902907,1,5.489032
17.576757,1,5.562393
8.432541,1,5.617951
8.553259,1,5.679963
8.267236,1,5.743869
13.387724,1,5.838255
8.481088,1,5.902478
12.530867,1,5.968175
7.158144,1,6.039402
4.596709,1,6.109405
10.99964,1,6.177649
6.247675,1,6.251242
15.863447,1,6.420057
5.467306,1,6.533876
9.092789,1,6.602498
11.689199,1,6.674478
7.414628,1,6.758578
19.696056,1,6.845205
9.074458,1,6.936141
5.079509,1,7.012656
15.949516,1,7.123743
5.256102,1,7.201202
3.972998,1,7.273455
13.914031,1,7.359523
16.859318,1,7.467674
13.170035,1,7.597888
6.05047,1,7.672417
5.23372,1,7.753217
9.124031,1,7.850089
8.734219,1,7.968212
4.797233,1,8.114901
14.075077,1,8.245838
6.927405,1,8.314414
8.267839,1,8.381046
10.673384,1,8.454219
4.920431,1,8.520838
8.60668,1,8.584917
9.915745,1,8.692902
11.10066,1,8.784224
6.205695,1,8.849585
13.882056,1,8.949277
9.584394,1,9.03706
16.501199,1,9.092252
24.167367,1,9.184627
21.33163,1,9.288391
23.961526,1,9.369307
8.344736,1,9.439703
11.460544,1,9.510692
8.193171,1,9.584755
11.326699,1,9.667021
21.463591,1,9.720795
23.005321,1,9.780046
6.734188,1,9.843294
6.606911,1,9.914145
13.607452,1,10.002785
12.382048,1,10.101816
16.001964,1,10.170877
5.566083,1,10.23981
6.165664,1,10.314048
8.239575,1,10.373633
5.09834,1,10.44003
12.980409,1,10.547271
5.742405,1,10.602491
14.309651,1,10.684318
10.218956,1,10.777255
6.353397,1,10.842563
9.740148,1,10.902476
5.586156,1,10.953016
6.944519,1,11.013804
9.605611,1,11.108486
25.453015,1,11.196291
12.290151,1,11.280795
7.649018,1,11.336663
6.912805,1,11.406815
12.454085,1,11.485964
7.257617,1,11.554207
12.006546,1,11.621924
7.152334,1,11.680529
11.750758,1,11.742887
13.446198,1,11.846859
7.058591,1,11.908386
6.615114,1,11.976646
16.707954,1,12.069366
17.442873,1,12.149818
5.996519,1,12.203412
6.82964,1,12.268413
19.075778,1,12.334364
9.423354,1,12.39163
27.206679,1,12.457387
25.394568,1,12.511119
9.947576,1,12.581159
14.122919,1,12.655348
26.674609,1,12.742554
6.175745,1,12.808673
20.905593,1,12.883379
11.519653,1,12.938786
5.24405,1,13.006786
7.191329,1,13.084013
12.095856,1,13.155691
9.856743,1,13.262659
8.719531,1,13.321538
10.125076,1,13.4202
7.754805,1,13.494298
9.65936,1,13.574703
14.117737,1,13.672389
35.477757,1,13.738858
27.192728,1,13.803211
8.691945,1,13.87354
9.961677,1,13.958151
12.069982,1,14.02553
7.909505,1,14.078135
21.123263,1,14.178427
5.282193,1,14.249275
6.094964,1,14.326313
7.987119,1,14.393148
6.572422,1,14.455879
15.093151,1,14.549746
13.143389,1,14.628258
14.74618,1,14.714779
12.918611,1,14.797456
8.556896,1,14.876749
6.965572,1,14.95524
4.605959,1,15.028421
4.508122,1,15.092987
8.0748,1,15.177408
10.394796,1,15.244579
10.10107,1,15.337315
5.658952,1,15.405268
5.842157,1,15.481679
7.297703,1,15.54054
6.038291,1,15.592319
10.689518,1,15.658377
21.144787,1,15.72559
