#{"t_start": 1655929304.6728833, "env_id": "IK-Gazebo-v0"}
r,l,t
11.113397,1,2.667758
11.829948,1,2.73567
9.007104,1,2.783051
10.025707,1,2.832054
13.813657,1,2.888182
10.461632,1,2.938897
5.860887,1,2.986356
7.128961,1,3.033271
7.887122,1,3.097383
16.088418,1,3.147362
7.762068,1,3.203959
9.099273,1,3.247956
4.326177,1,3.293359
6.782097,1,3.339605
8.582051,1,3.390446
12.70146,1,3.454038
8.320306,1,3.513617
6.066717,1,3.565106
7.519914,1,3.612599
4.34791,1,3.658005
10.920068,1,3.725476
8.332776,1,3.773518
7.861084,1,3.821138
5.806822,1,3.867113
15.858162,1,3.913038
14.222758,1,3.95609
53.096769,1,4.000966
7.136175,1,4.057408
9.739313,1,4.10654
20.900162,1,4.167434
8.458709,1,4.212632
7.90521,1,4.264342
12.169745,1,4.365627
5.017059,1,4.415163
21.394313,1,4.630295
12.133145,1,4.680271
8.372955,1,4.727304
8.543919,1,4.780767
5.713456,1,4.827583
6.259115,1,4.872656
6.548791,1,4.930372
5.667488,1,4.979231
11.859599,1,5.027696
7.491798,1,5.077471
11.288524,1,5.128868
8.320926,1,5.177117
10.253747,1,5.230428
5.838227,1,5.27785
12.644589,1,5.334946
8.341794,1,5.384459
15.560308,1,5.43297
8.764469,1,5.502824
5.87775,1,5.588376
6.347075,1,5.634221
28.001375,1,5.681369
7.006452,1,5.728047
14.785668,1,5.774014
6.069136,1,5.821524
19.699653,1,5.891957
10.224599,1,5.938581
6.671887,1,5.988285
8.074765,1,6.034966
31.381589,1,6.1024
10.296642,1,6.149374
10.081406,1,6.204113
9.624294,1,6.271335
7.340782,1,6.337166
14.162504,1,6.380968
7.049117,1,6.428667
10.098913,1,6.473858
6.042308,1,6.540279
10.84259,1,6.585893
8.949751,1,6.633779
15.887984,1,6.679582
7.46297,1,6.726482
8.249471,1,6.773027
12.363247,1,6.868714
6.971762,1,6.924795
18.977796,1,6.970912
5.379182,1,7.013561
8.10809,1,7.080115
17.699578,1,7.133206
4.547089,1,7.177676
6.803803,1,7.230052
8.642193,1,7.28181
15.24753,1,7.346471
7.45288,1,7.398131
5.518801,1,7.446696
9.040101,1,7.503384
3.902562,1,7.560742
9.301867,1,7.629959
5.616208,1,7.696502
23.312323,1,7.764075
10.167664,1,7.808001
6.726285,1,7.874954
10.209925,1,7.922791
8.044646,1,7.966829
7.052205,1,8.01531
10.670916,1,8.0666
8.701841,1,8.110967
9.150214,1,8.160174
8.023855,1,8.20909
8.393123,1,8.253536
11.754818,1,8.309312
9.498225,1,8.362395
7.945261,1,8.406435
3.93676,1,8.45323
35.646591,1,8.502736
5.905684,1,8.549565
51.5918,1,8.599782
60.365022,1,8.648161
8.470235,1,8.692896
12.806561,1,8.743908
8.453643,1,8.788669
22.640701,1,8.836465
4.746827,1,8.879956
18.587672,1,8.927659
3.872908,1,8.980347
3.96966,1,9.027424
15.315121,1,9.094735
6.389032,1,9.142915
7.102277,1,9.18754
9.151594,1,9.23128
5.342638,1,9.335816
7.695669,1,9.398259
4.978571,1,9.445178
5.6696,1,9.505235
27.432906,1,9.56454
9.999108,1,9.623654
25.421697,1,9.668732
8.954304,1,9.718232
34.127262,1,9.775036
38.109523,1,9.827801
8.984231,1,9.897165
6.813592,1,9.945724
3.229121,1,9.99207
21.677053,1,10.041195
7.357473,1,10.113835
31.271543,1,10.158728
11.85953,1,10.204778
9.540547,1,10.265091
9.062177,1,10.315088
9.334791,1,10.373113
8.099274,1,10.441482
7.405455,1,10.491928
15.616513,1,10.541923
14.221514,1,10.608762
6.753649,1,10.651275
15.437988,1,10.700115
32.568213,1,10.758713
12.75644,1,10.813469
6.600275,1,10.86133
7.179094,1,10.910855
9.099668,1,10.968716
14.263639,1,11.02512
6.353727,1,11.074745
4.479011,1,11.130425
12.110012,1,11.179604
11.473092,1,11.229197
26.518396,1,11.322524
5.748132,1,11.377993
19.083927,1,11.456232
6.658674,1,11.530189
12.513765,1,11.631847
8.551291,1,11.76843
7.684201,1,11.81267
8.043903,1,11.863758
5.310784,1,11.918106
14.021378,1,11.969401
6.71877,1,12.02761
6.458742,1,12.077782
11.323799,1,12.135982
9.252337,1,12.193132
8.80534,1,12.246259
14.237501,1,12.293769
13.173314,1,12.368325
7.652703,1,12.446997
14.698623,1,12.513049
22.444925,1,12.572047
10.624666,1,12.622437
23.016747,1,12.676051
26.557124,1,12.730785
24.998152,1,12.787573
6.68046,1,12.837224
6.98639,1,12.899575
16.552278,1,12.987496
14.327784,1,13.036768
9.922354,1,13.088766
12.486208,1,13.156758
14.933757,1,13.224014
58.740136,1,13.286677
7.123575,1,13.352256
18.449659,1,13.408301
13.219416,1,13.470342
15.098316,1,13.52033
23.734311,1,13.56973
9.622574,1,13.628334
20.066044,1,13.696926
8.857507,1,13.745334
9.658403,1,13.812339
14.539561,1,13.870991
151.3781,1,13.938547
10.015652,1,13.989864
13.632382,1,14.046559
64.656878,1,14.093462
22.7756,1,14.149914
10.015472,1,14.207266
8.208069,1,14.272679
20.018081,1,14.334808
28.547065,1,14.388519
19.986021,1,14.444035
9.001282,1,14.501939
8.702282,1,14.583785
13.843466,1,14.636184
11.722249,1,14.705161
6.762647,1,14.772304
30.821586,1,14.828075
23.368173,1,14.900037
14.619465,1,14.970433
11.890365,1,15.025234
6.444078,1,15.086068
10.664351,1,15.146128
8.358203,1,15.225248
14.486286,1,15.290097
8.229024,1,15.366348
6.058622,1,15.433007
9.689495,1,15.518612
9.159928,1,15.588202
18.329337,1,15.653855
20.382299,1,15.710383
23.626634,1,15.76449
8.675282,1,15.840275
19.140137,1,15.906703
8.319065,1,15.97065
11.231038,1,16.047039
8.379638,1,16.121283
19.027497,1,16.200889
15.944252,1,16.276756
25.212708,1,16.359564
9.014219,1,16.437877
19.055028,1,16.52545
17.120966,1,16.600314
36.120459,1,16.656003
6.728793,1,16.74595
8.799367,1,16.863949
9.86877,1,16.950445
20.124283,1,17.016495
9.136328,1,17.115063
7.5238,1,17.223697
14.342925,1,17.33053
11.609282,1,17.405499
9.449642,1,17.460325
6.081403,1,17.555977
8.182453,1,17.631119
18.962612,1,17.71009
27.047957,1,17.767093
10.875252,1,17.838352
11.497048,1,17.93129
9.953898,1,17.997573
21.20711,1,18.073251
19.647071,1,18.15935
8.267522,1,18.254118
12.025586,1,18.338856
8.355058,1,18.41528
20.000666,1,18.480629
15.818873,1,18.536945
7.160043,1,18.635619
10.654323,1,18.691052
12.248525,1,18.751861
16.881992,1,18.833069
7.461933,1,18.957982
36.484106,1,19.021267
11.112134,1,19.109138
11.616456,1,19.211356
14.444902,1,19.295519
10.620625,1,19.362544
13.460715,1,19.448924
12.599933,1,19.525554
8.171734,1,19.579881
13.55271,1,19.655235
17.624685,1,19.755688
13.267168,1,19.820612
8.228773,1,19.894401
12.664565,1,19.989884
20.109536,1,20.073888
10.329843,1,20.157023
18.150419,1,20.198623
8.573951,1,20.275627
9.484645,1,20.343395
17.594745,1,20.419961
6.507273,1,20.5133
12.838057,1,20.6175
18.499789,1,20.694825
14.509858,1,20.780234
10.344043,1,20.86812
9.633524,1,20.955938
6.415832,1,21.032227
9.653395,1,21.107452
15.990471,1,21.178869
13.016514,1,21.262691
21.243811,1,21.352516
10.261235,1,21.406723
29.462363,1,21.496708
13.726152,1,21.585158
17.562917,1,21.661364
11.495542,1,21.75153
13.92014,1,21.869284
12.094568,1,21.948973
9.8275,1,22.036127
10.510557,1,22.122873
6.871352,1,22.20745
23.067376,1,22.306766
8.111785,1,22.38148
18.663779,1,22.468812
8.509812,1,22.55377
54.20504,1,22.609084
16.45884,1,22.684939
9.338442,1,22.762582
14.280179,1,22.847013
8.816734,1,22.932598
10.263234,1,23.010223
12.779969,1,23.069438
14.37799,1,23.169434
