#{"t_start": 1656396492.7095807, "env_id": "IK-Gazebo-v0"}
r,l,t
-1.080405,100,6.379528
-1.298618,100,9.526802
-1.642162,100,12.741868
-1.422448,100,15.893413
-1.441826,100,18.988582
-1.342622,100,22.213071
-1.317696,100,25.185872
-1.212588,100,28.377647
-2.080708,100,31.376131
-2.103322,100,34.397982
-1.758719,100,37.619792
-0.941465,100,40.941488
-0.96476,100,44.885308
-0.868526,100,49.991378
-1.077182,100,56.090796
-1.001154,100,61.537874
-1.0,100,67.197187
-1.841103,100,71.19598
-1.915504,100,74.405563
-1.74511,100,78.075292
-1.938689,100,81.653588
-1.986813,100,84.863303
-1.793428,100,88.235631
-2.149753,100,91.62779
-1.948378,100,95.373196
-1.819862,100,99.005391
-1.35466,100,102.660649
-1.601718,100,106.947289
-1.297918,100,110.90164
-1.890568,100,115.016238
-2.128608,100,118.617784
-1.793583,100,122.049095
-1.818745,100,125.450518
-1.891074,100,129.20726
-1.996038,100,133.053012
-2.007787,100,136.745993
-2.10482,100,140.590377
-1.673537,100,143.982629
-1.639499,100,147.758239
-2.117268,100,151.470031
-1.773307,100,154.990396
-1.696535,100,158.166152
-1.921727,100,161.457047
-1.752912,100,164.996455
-1.734391,100,168.900854
-1.166343,100,172.471725
-1.345656,100,175.926513
-1.11258,100,179.164842
-1.482014,100,182.764058
-1.225686,100,186.21717
-1.76695,100,189.404914
-1.524454,100,192.325239
-1.752312,100,195.244735
-1.901183,100,198.22588
-2.054446,100,201.589296
-1.839612,100,205.043646
-1.902721,100,208.170831
-1.866269,100,211.229107
-1.766078,100,214.141707
-1.639225,100,216.995367
-1.555543,100,220.092922
-1.489297,100,223.288371
-1.727371,100,226.722239
-1.775031,100,229.840512
-1.901074,100,233.183498
-1.972379,100,237.816322
-1.745145,100,241.121366
-1.350465,100,245.116698
-1.131445,100,250.972291
-1.062856,100,256.42796
-1.072924,100,262.154263
-0.924487,100,269.048391
-1.111517,100,274.23641
-1.22801,100,281.360767
-0.856014,100,284.786627
-1.149285,100,288.776799
-1.087088,100,293.216399
-1.001926,100,297.729285
-1.0,100,302.059065
-1.0,100,306.536943
-1.295029,100,311.595242
-1.29812,100,316.402684
-1.103065,100,321.590909
-1.002547,100,326.313554
-0.999858,100,331.16461
-1.010419,100,336.23781
-0.889161,100,341.769973
-0.942182,100,347.248406
-0.917714,100,352.425072
-0.921172,100,357.080378
-1.010793,100,362.704663
-1.021622,100,367.348824
-1.267975,100,372.088943
-0.932036,100,376.808066
-1.020308,100,381.217638
-0.908299,100,387.008318
-1.148522,100,391.588217
-1.000059,100,396.395534
-0.812583,100,401.457691
-0.921475,100,406.633643
0.448066,75,410.725947
-1.059759,100,416.946248
-1.521143,100,423.202716
-1.389877,100,428.459507
-1.622426,100,435.593867
-1.446878,100,441.869554
-1.183764,100,447.138032
-1.569025,100,452.602425
-1.528377,100,458.810051
-1.644985,100,464.93605
-1.677287,100,470.003921
-1.717526,100,475.856758
-1.496682,100,482.307538
-1.525593,100,488.692023
-1.711939,100,494.551084
-1.525259,100,500.884363
-1.572872,100,506.689397
-1.586337,100,512.178541
-1.325165,100,517.682613
-1.413597,100,523.029285
-1.57752,100,529.182296
-1.376438,100,534.652455
-1.385254,100,540.764446
-1.465657,100,546.372506
-1.233691,100,552.22517
-1.29924,100,558.255478
-1.60665,100,564.944112
-1.586493,100,570.97815
-1.355834,100,578.357738
-1.002849,100,585.821805
-1.0,100,592.174855
-1.0,100,598.408611
-1.0,100,603.895253
-1.0,100,609.551704
-1.0,100,615.177412
-1.0,100,620.934973
-1.0,100,626.916656
-1.0,100,633.00884
-1.0,100,638.823545
-1.0,100,644.763276
-1.0,100,650.610412
-1.0,100,656.799042
-1.0,100,662.433036
-1.0,100,668.935971
-1.0,100,674.940468
-1.0,100,680.446988
-1.0,100,686.140764
-1.0,100,691.357615
-1.0,100,697.142111
-1.0,100,703.181986
-1.0,100,708.850344
-1.0,100,714.268291
-1.0,100,719.750907
-1.0,100,725.287775
-1.0,100,730.779323
-1.0,100,736.226818
-1.0,100,741.825731
-1.0,100,747.689637
-1.0,100,753.316313
-1.0,100,758.873487
-1.0,100,764.431733
-1.0,100,769.946315
-1.0,100,776.192431
-1.0,100,781.778661
-1.0,100,787.260957
-1.0,100,793.724061
-1.0,100,800.479193
-1.0,100,806.258591
-1.0,100,811.699786
-1.0,100,817.131105
-1.0,100,822.45692
-1.0,100,828.162915
-1.0,100,833.447039
-1.0,100,839.092192
-1.0,100,844.526005
-1.0,100,849.954262
-1.0,100,855.414236
-1.0,100,860.947199
-1.0,100,866.451844
-1.0,100,872.366185
-1.0,100,878.374449
-1.0,100,884.705144
-1.0,100,890.38906
-1.0,100,897.109738
-1.0,100,904.06277
-1.0,100,909.806106
-1.0,100,916.43437
-1.0,100,922.529157
-1.0,100,928.190035
-1.0,100,933.452845
-1.0,100,938.822067
-1.0,100,944.530763
-1.0,100,949.860078
-1.0,100,955.399361
-1.0,100,960.830503
-1.0,100,966.216074
-1.0,100,972.354449
-1.0,100,978.650327
-1.0,100,984.335474
-1.0,100,989.819082
-1.0,100,995.132643
-1.0,100,1000.450387
-1.0,100,1005.813258
-1.0,100,1011.537641
-1.0,100,1017.869798
-1.0,100,1024.065431
-1.0,100,1030.546705
-1.0,100,1036.591064
-1.0,100,1042.178522
-1.0,100,1048.605356
-1.0,100,1055.300689
-1.0,100,1061.381859
-1.0,100,1068.069756
-1.0,100,1074.29635
-1.0,100,1080.547534
-1.0,100,1085.912801
-1.0,100,1091.853718
-1.0,100,1098.056728
-1.0,100,1104.730765
-1.0,100,1111.625507
-1.0,100,1118.039824
-1.0,100,1123.608994
-1.0,100,1128.986781
-1.0,100,1135.26723
-1.0,100,1141.611421
-1.0,100,1148.103204
-1.0,100,1153.308082
-1.0,100,1158.613063
-1.0,100,1164.079446
-1.0,100,1170.228425
-1.0,100,1175.788274
-1.0,100,1182.072133
-1.0,100,1187.587006
-1.0,100,1192.924581
-1.0,100,1198.41398
-1.0,100,1203.795527
-1.0,100,1209.629358
-1.0,100,1215.489464
-1.0,100,1221.44376
-1.0,100,1226.825939
-1.0,100,1232.780204
-1.0,100,1238.361275
-1.0,100,1243.897659
-1.0,100,1249.266253
-1.0,100,1254.796503
-1.0,100,1260.023751
-1.0,100,1265.172859
-1.0,100,1270.407348
-1.0,100,1275.971989
-1.0,100,1281.857894
-1.0,100,1287.635986
-1.0,100,1293.040374
-1.0,100,1298.701442
