#{"t_start": 1655843367.6140814, "env_id": "IK-Gazebo-v0"}
r,l,t
11.136249,1,11.845528
11.81323,1,15.215645
8.849496,1,18.738265
9.32875,1,22.148706
14.610953,1,25.766295
12.245713,1,28.886922
5.917224,1,33.140615
7.216646,1,36.359342
8.136115,1,40.66389
17.259476,1,43.070266
8.927067,1,47.715837
9.273556,1,51.300027
4.055628,1,54.856039
7.277254,1,58.634923
8.632454,1,61.58978
12.407296,1,65.534157
8.32627,1,68.866602
6.598972,1,72.923874
6.589016,1,76.726934
4.130223,1,80.819805
10.948922,1,83.119132
10.374629,1,83.616432
8.245437,1,84.087008
6.342946,1,84.403671
15.433601,1,84.838335
14.8783,1,85.351181
16.301508,1,85.944534
7.197412,1,86.558102
9.531686,1,86.826179
13.905069,1,87.427282
8.375388,1,87.993742
8.907875,1,88.499824
8.279922,1,88.840178
5.092067,1,89.131629
23.47894,1,89.302464
11.600558,1,89.531648
17.346425,1,89.984809
8.485817,1,90.56797
5.539013,1,90.963552
6.132209,1,91.341547
6.332806,1,91.780475
5.635928,1,92.305207
11.871309,1,92.730052
7.283849,1,93.391428
11.305833,1,93.711079
7.938053,1,94.224149
13.121402,1,94.789861
5.640816,1,95.127841
12.256355,1,95.29387
8.079334,1,95.802793
14.552733,1,96.130806
8.762057,1,96.729989
5.87401,1,97.643932
5.737588,1,98.16996
24.011642,1,98.71157
6.628159,1,99.064104
13.469195,1,99.278192
5.436881,1,99.612606
19.664378,1,100.500254
10.047662,1,100.876875
6.113268,1,101.445199
6.766389,1,102.006396
22.216074,1,102.390171
8.430233,1,102.768553
9.852906,1,103.072214
8.385939,1,103.481067
6.459437,1,104.093585
17.577679,1,104.629577
6.120021,1,105.46325
9.071925,1,106.000613
4.265869,1,106.440036
8.011093,1,106.975593
7.093061,1,107.4341
11.603453,1,107.843071
5.97494,1,108.413275
5.43287,1,108.726447
13.550375,1,109.363613
6.801056,1,110.019606
16.521695,1,110.732216
3.767659,1,111.304416
7.688336,1,111.806282
12.044741,1,112.587266
4.243056,1,113.000014
6.386259,1,113.436185
7.196621,1,113.835119
11.662059,1,114.055195
8.021747,1,114.235187
8.353853,1,114.61257
7.077938,1,114.973792
3.313625,1,115.691435
9.286491,1,116.142957
6.28968,1,116.63062
19.577594,1,117.143252
11.464783,1,117.765548
5.969272,1,118.429275
11.804292,1,119.105858
7.561452,1,119.414966
9.837759,1,119.59102
7.056667,1,120.06081
6.367916,1,120.607207
9.550544,1,121.285621
10.5755,1,121.681605
9.665004,1,122.250077
10.933848,1,122.935589
8.21015,1,123.685011
4.724097,1,124.183483
6.330958,1,124.576327
21.421785,1,125.35677
5.637395,1,126.02085
25.035277,1,126.468541
27.206209,1,126.963412
19.495239,1,127.54498
12.10611,1,128.232577
10.713007,1,128.690241
21.515799,1,129.491993
10.268123,1,130.049073
10.51123,1,130.572682
4.183337,1,130.885657
4.759218,1,131.109089
15.584714,1,131.624206
22.399979,1,132.026968
10.057775,1,132.606034
12.096744,1,133.09459
10.981526,1,134.044896
9.007096,1,134.737792
10.096511,1,135.212958
14.259745,1,135.809854
25.985856,1,136.46213
9.621821,1,136.710572
50.767221,1,136.854373
8.162546,1,137.362777
29.868286,1,137.844773
49.380907,1,138.335435
39.897777,1,139.110948
9.653947,1,139.921904
3.76553,1,140.742452
27.013983,1,141.352679
9.394762,1,141.769933
41.133388,1,141.935871
42.076977,1,142.136669
14.516246,1,142.70321
28.490273,1,142.97458
8.581899,1,143.446326
8.107142,1,144.507097
8.610183,1,144.900021
11.988028,1,145.533977
14.358101,1,146.107774
19.110321,1,146.569034
16.351143,1,147.081364
