#{"t_start": 1656486052.681403, "env_id": "IK-WMMO-Gazebo-v0"}
r,l,t
-1.070034,5,3.633342
-1.595892,21,4.960823
-1.507824,11,5.74707
-2.24467,100,12.26709
-1.946946,100,18.933671
-2.384082,100,25.507354
-2.918166,86,31.018281
-1.847802,43,33.776523
-1.020253,5,34.111249
-0.982336,3,34.347458
-1.972924,14,35.33723
0.947955,8,35.89007
-1.556441,14,36.798768
-2.567056,100,43.163963
-2.812192,81,48.361228
-2.243232,100,54.991691
-2.418297,72,59.685217
-3.137899,99,66.409717
-2.114075,100,73.086089
0.388794,44,76.035934
-2.398194,100,82.572816
-2.174913,100,89.331957
-2.376124,100,95.736808
-2.224119,100,102.314714
-2.045301,100,108.713775
-2.545462,100,115.194761
-2.307077,100,121.739523
-2.504076,100,128.293118
-2.179249,100,134.785089
-2.833291,100,141.22773
-2.434243,100,147.692824
-2.047538,36,150.064434
-2.517769,100,156.536613
-2.447777,100,163.17675
-2.375048,100,169.596022
-2.366899,100,175.966351
-2.130302,100,182.359721
-2.407456,100,189.046956
-2.358354,100,195.518616
-2.316224,100,202.04127
-2.05989,100,208.50411
-2.289838,100,214.963811
-2.180316,100,221.338493
-2.475002,100,227.933884
-2.146258,100,234.493676
-2.247745,100,240.953963
-2.181203,100,247.404863
-1.944604,100,253.957681
-2.187173,100,260.471061
-2.372622,100,266.908659
-2.543262,100,273.371503
-2.256679,100,279.931122
-2.36912,100,286.382163
-2.321601,100,292.897227
-2.175449,100,299.255319
-2.109908,100,305.621207
-2.200412,100,312.148684
-2.106294,100,318.795111
-2.068874,100,325.160532
-2.205048,100,331.603571
-2.321413,100,338.023088
-2.200658,100,344.463524
-2.204922,100,350.908402
-2.285207,100,357.405772
-2.126937,100,363.847671
-2.335656,100,370.418599
-2.36893,100,376.909493
-2.36925,100,383.342177
-2.190304,100,389.855217
-2.241496,100,396.253463
-2.03595,100,402.779821
-2.282114,100,409.229566
-2.003162,100,415.58462
-1.96356,100,421.976367
-2.142932,100,428.426187
-1.938495,100,435.016734
-2.434045,100,441.660763
-3.049669,98,448.088217
-1.052935,3,448.318539
-2.156479,100,454.811034
