#{"t_start": 1656168929.8851035, "env_id": "IK-WO-Gazebo-v1"}
r,l,t
1.263942,6,4.930647
1.261657,8,5.84524
1.309236,7,6.615495
-0.712307,7,7.400694
1.352079,5,7.996394
1.359901,6,8.708575
1.326687,6,9.461169
0.343571,7,10.282052
0.223572,14,11.786101
1.228072,10,12.875584
1.332299,6,13.582445
1.338685,6,14.261417
0.279884,10,15.371619
1.305508,6,16.086257
-1.268832,32,19.53487
0.731176,35,23.322664
1.308167,6,24.113104
1.314445,4,24.657916
1.243676,9,25.743062
-0.913569,4,26.315085
1.286185,7,27.125064
1.32429,7,27.94114
0.342373,5,28.576311
-1.392415,39,33.293432
-0.770714,4,33.785182
1.313,4,34.286416
-0.878072,3,34.693371
-0.891255,3,35.138102
1.080433,20,37.571511
-0.769974,4,38.138017
-0.861253,2,38.481094
-0.852651,2,38.80828
1.192646,14,40.627141
1.330401,7,41.56411
1.31114,6,42.618036
1.284304,6,43.463496
-0.993402,18,45.54872
-0.707119,6,46.280859
1.214523,10,47.685844
1.08156,18,49.930504
1.108988,18,52.185035
1.234362,12,53.633503
-0.90997,15,55.519501
1.359116,6,56.332731
1.259011,9,57.625824
1.227493,12,59.255692
1.258261,7,60.168608
-1.671939,45,65.561568
1.320989,8,66.580227
1.297267,9,67.732009
-0.76333,9,68.830929
-0.811251,7,69.780366
-0.966066,20,72.194591
1.213812,9,73.425455
1.26473,10,74.772085
0.891989,28,78.373723
1.266461,8,79.451041
-1.050138,23,82.340023
1.262472,8,83.394064
