#{"t_start": 1655030462.4193525, "env_id": "IK-Gazebo-v0"}
r,l,t
0.254637,30,5.718408
-1.116963,100,11.979844
-1.245288,100,18.149173
-1.12255,100,24.667854
-1.091082,100,31.10785
-1.346719,100,37.183997
-1.128007,100,43.135173
-1.487931,100,49.317435
-1.005537,100,55.325593
-1.066859,100,61.982335
-1.077165,100,67.972875
-0.911855,100,73.720943
-1.32799,100,79.997828
-0.758062,100,86.171695
-1.03835,100,92.677139
-1.085615,100,99.068496
-0.928029,100,105.225278
-1.121197,100,111.337988
-0.884055,100,117.730698
-1.696554,100,123.720646
-1.459265,100,130.364901
-0.964012,100,136.961387
-1.532091,100,143.170169
-0.770805,100,149.699016
-1.347994,100,156.182178
-1.308208,100,162.429161
-0.801163,100,168.676487
-0.850995,100,174.539449
-1.608229,100,180.560982
-0.638103,100,186.965583
-1.162402,100,193.104771
-1.195323,100,199.387978
-0.994632,100,205.934057
-0.894451,100,212.211099
-1.006347,100,218.786055
-1.488578,100,225.01424
-0.957649,100,231.220565
-1.501036,100,237.650182
-1.171591,100,243.81753
-1.414798,100,250.788313
-1.063589,100,257.437103
-0.095101,42,260.008101
-1.222777,100,266.796165
-1.402798,100,273.69308
-1.22489,100,279.783242
-1.709704,100,285.983908
-0.975005,100,292.86357
-1.575874,100,299.178734
-1.465072,100,305.234517
-1.219639,100,311.753601
-0.453353,62,316.00468
-1.565722,100,322.054261
-1.563389,100,328.431556
-0.938032,100,334.473695
-1.066666,100,340.16063
-0.764428,100,345.958841
-0.921677,100,352.212733
-1.647139,100,357.762076
-0.657303,100,363.40835
-1.120237,100,368.893414
-1.013841,100,374.29604
-1.073647,100,380.194873
-1.070021,100,385.939407
-0.232503,48,388.889299
-1.324583,100,394.704174
-1.087043,100,400.592906
-1.020909,100,406.584471
-1.374241,100,412.732415
-1.253989,100,418.258929
-1.232474,100,423.793128
-1.367265,100,429.226423
-0.747071,100,434.971057
-1.299713,100,440.568168
-0.415967,73,444.638976
-0.226864,57,448.147732
-0.648961,100,454.431834
-1.293168,100,459.971446
-1.312572,100,465.711894
-1.396489,100,471.480493
-0.022411,37,473.886511
-0.990346,100,479.740798
-1.377594,100,486.08757
-1.073007,100,492.442547
-1.092115,100,499.073752
-1.11875,100,505.392876
-1.024009,100,510.397835
-1.271413,100,516.622974
-0.950002,100,522.934044
-1.380187,100,528.520032
-0.245335,52,531.817986
-1.473543,100,537.592033
-0.933921,100,543.737534
-1.230448,100,550.230218
-1.006619,100,556.453875
-1.329925,100,562.758581
-0.319978,63,566.052192
-1.309723,100,572.427733
-0.82525,100,578.760307
-0.532348,86,584.645728
-0.83102,100,590.999854
-1.156776,100,597.82291
-1.602542,100,603.806046
-0.379057,83,609.388251
-0.704889,100,614.479337
-1.328499,100,620.703014
-0.903428,100,627.262896
-1.347544,100,633.438827
-0.510047,69,637.300569
-0.170919,24,638.629459
-1.047045,100,645.29812
-1.027478,100,651.465866
-0.954433,100,658.488689
0.235457,14,659.402727
-1.001382,100,666.068037
-1.459479,100,671.739414
-1.239699,100,677.996543
-1.093007,100,684.649872
-0.107185,27,686.395001
-0.517681,89,691.814855
-1.009194,100,698.47646
-1.141273,100,704.829247
-0.269823,53,707.935466
-1.22145,100,714.17684
-0.919462,100,720.281663
-0.684326,100,726.397656
-0.921375,100,733.17062
-1.136596,100,739.565424
-1.191519,100,745.467104
-0.013561,48,748.635941
-1.383823,100,755.013194
-0.937855,100,760.999757
-0.255233,57,764.706943
-1.030407,100,771.152292
-1.363621,100,776.999488
0.001379,31,778.984776
0.091703,6,779.343256
0.012007,2,779.461464
-0.849235,100,785.692793
-1.134233,100,791.454785
-0.844874,99,797.164762
-0.947813,100,803.097274
0.182864,13,803.875966
-0.987573,100,810.152939
-1.196593,100,815.725985
-0.838148,100,821.183867
-1.150798,100,827.58944
-1.20602,100,832.95744
-0.777556,100,839.164989
-0.827443,100,845.450079
0.311053,17,846.500339
-0.096047,31,848.733981
-1.260527,100,855.005716
0.057447,22,856.17466
-1.195726,100,861.952555
-0.814577,100,868.281425
-1.269317,100,874.175856
-1.093632,100,880.021456
-0.58447,96,886.102015
0.159243,6,886.438571
-0.991575,100,892.744365
0.376097,5,893.057339
-1.327788,100,899.63881
-1.076462,100,906.041971
-1.170944,100,911.438135
-0.517519,90,917.308434
-0.795279,100,923.113108
-1.794828,100,928.62442
-1.126717,100,934.273294
0.121901,29,936.135446
-1.233884,100,941.622618
-0.863465,100,947.875515
-0.352125,72,952.625904
-1.138886,100,958.422856
-1.106417,100,964.967053
-0.816878,100,971.652979
-0.735303,100,977.485533
0.293331,10,978.035302
-0.811004,100,984.370066
-0.37428,76,988.515964
-0.852693,100,994.037349
-0.812059,100,1000.681841
-0.963074,100,1006.465305
-1.393029,100,1012.261705
-0.666097,100,1018.201629
-1.276135,100,1024.459481
-0.800655,100,1030.240785
0.104285,28,1031.752547
-1.148066,100,1038.138842
-0.364233,62,1041.540723
-1.560984,100,1047.455469
-0.220041,38,1049.552712
-1.011027,100,1055.409795
-0.459998,84,1060.448318
0.10477,14,1061.240685
-0.658491,100,1067.368029
-1.174223,100,1073.861907
-1.600152,100,1079.609354
-1.346598,100,1085.477156
-0.935377,100,1092.394737
-0.098641,56,1095.500795
-1.358913,100,1101.533482
-0.781212,100,1107.600071
-0.962835,100,1113.436422
-1.30326,100,1119.10439
-0.930014,100,1125.161059
-0.663516,83,1129.445981
-0.125065,28,1131.157453
-0.802571,100,1136.44064
-1.215001,100,1141.890497
-0.867287,100,1147.920105
0.129482,15,1148.730335
-1.214176,100,1154.645753
-1.376399,100,1160.410159
-0.535282,100,1166.10443
0.072263,27,1167.647938
-0.928005,100,1173.229105
-1.15958,100,1178.760595
-0.773798,100,1184.719139
-1.089665,100,1190.486112
-1.049274,100,1195.795211
-0.774654,100,1201.052923
0.173634,23,1202.18042
-1.341081,100,1208.170738
-0.910668,100,1213.893505
-1.006292,100,1219.590644
0.248898,17,1220.459213
-0.155056,63,1223.985235
-0.104093,40,1226.53554
-1.158557,100,1232.506924
-0.189534,50,1235.225371
-1.087009,100,1240.737301
-0.998339,100,1246.079703
-0.381528,73,1251.038666
-0.928186,100,1256.365819
0.350797,24,1257.578077
-1.61747,100,1263.996893
-0.874016,100,1270.618949
-1.120912,100,1276.4613
-0.969635,100,1282.354784
-1.269527,100,1288.05403
-0.937649,100,1294.147514
0.294926,27,1295.763763
-0.609303,100,1301.882344
-1.111491,100,1307.966036
0.4793,3,1308.217037
-0.267395,71,1313.381552
-0.398043,76,1317.980902
-0.890419,100,1324.074679
0.328855,9,1324.629951
-1.418704,100,1331.013828
-0.253529,73,1335.960105
0.322422,10,1336.53218
0.010188,24,1337.998212
0.152235,33,1340.127389
-0.97631,100,1345.82505
-0.242131,66,1350.66249
-1.306344,100,1356.622487
-0.823648,100,1362.97729
-0.752047,100,1369.159638
-0.859437,100,1375.627487
0.013678,32,1377.788455
-0.94164,100,1384.740967
-1.053815,100,1391.171168
-0.298663,49,1394.406027
-1.713932,100,1401.368784
0.056015,19,1402.55086
-1.049666,100,1408.922243
0.1394,5,1409.23764
0.097542,16,1410.172727
-1.373207,100,1416.95723
-1.211355,100,1423.919093
-0.194018,51,1427.79975
-1.958979,100,1433.93799
-0.182381,44,1436.794714
-1.068561,100,1443.026882
-0.1136,19,1444.277627
-0.396968,62,1448.567621
-0.695855,99,1454.775659
-0.678847,86,1462.532912
-1.026497,100,1471.193171
0.122049,16,1472.164016
0.009235,20,1473.606038
-0.587553,100,1480.626975
-0.736271,92,1486.797472
-0.791992,100,1494.024748
-1.075168,100,1501.314291
-0.827762,100,1507.548564
-0.820867,99,1514.6173
0.292835,8,1515.183749
-0.967412,100,1522.209423
0.27186,8,1522.710823
-1.148698,100,1528.30676
-0.403627,60,1532.159194
0.089137,4,1532.418007
-0.226568,54,1535.98454
-0.006751,10,1536.723859
0.006647,28,1538.411229
-0.676223,100,1544.655988
-0.323852,72,1549.366946
-0.503601,78,1553.946825
-0.632927,100,1559.896437
-0.382165,97,1566.156503
-0.506055,83,1571.616379
-0.73503,100,1578.113479
-0.043472,21,1579.407009
-0.078888,36,1581.893003
-0.056855,33,1584.521949
-0.926049,100,1590.484116
-0.782853,100,1596.177227
-0.424516,77,1601.423764
-0.907672,100,1608.172698
-0.517052,80,1613.233813
-1.05681,100,1619.494221
0.104956,7,1619.933261
-0.154061,67,1624.517867
-0.765341,100,1630.470227
0.306259,12,1631.152154
-0.061619,40,1633.513796
0.309403,9,1634.068816
-0.917614,100,1640.369808
-1.014456,100,1646.868902
-1.224644,100,1653.135955
0.118292,27,1654.734052
-0.33574,69,1659.026553
-0.372066,61,1662.443058
-0.285306,32,1664.536787
-0.594607,98,1671.137097
-1.163325,100,1676.949766
-0.307976,50,1679.90311
-0.979343,100,1686.197424
0.019679,24,1687.600176
-0.668212,100,1693.332049
-0.871141,100,1699.148435
