#{"t_start": 1655783942.5518095, "env_id": "IK-Gazebo-v0"}
r,l,t
1.886312,1,2.669895
1.739538,1,2.725796
2.610288,1,2.76439
4.254163,1,2.801323
3.907084,1,2.838797
3.02923,1,2.875881
3.17911,1,2.912877
3.456423,1,2.949932
3.67608,1,2.98816
3.245953,1,3.027182
2.74464,1,3.075065
2.445708,1,3.12118
2.304718,1,3.187713
1.996798,1,3.236351
1.840021,1,3.284922
2.667371,1,3.323441
2.194563,1,3.360713
3.106612,1,3.398318
2.443131,1,3.437408
2.702483,1,3.515403
2.285013,1,3.563478
2.098534,1,3.600931
2.716127,1,3.649816
2.295473,1,3.695917
1.588465,1,3.734015
3.513702,1,3.792622
1.501706,1,3.851198
3.731697,1,3.898886
4.902721,1,3.947341
2.388294,1,3.995996
2.764662,1,4.043097
2.821202,1,4.080866
4.69157,1,4.118904
3.318906,1,4.16039
2.351463,1,4.246879
24.99,1,4.294427
2.366503,1,4.331166
2.531881,1,4.368943
5.643352,1,4.405795
1.873958,1,4.45008
3.973808,1,4.549002
2.86372,1,4.641161
2.247251,1,4.678019
2.452999,1,4.714104
4.499098,1,4.741554
3.172374,1,4.785946
3.018829,1,4.876343
3.569082,1,4.913471
2.176694,1,4.950963
3.629331,1,4.987955
2.186773,1,5.025163
2.493491,1,5.062128
2.738392,1,5.107833
1.601617,1,5.187093
2.187508,1,5.224184
3.452623,1,5.294505
1.921475,1,5.337959
2.601334,1,5.38789
2.197075,1,5.426165
2.597817,1,5.46503
2.110328,1,5.513591
3.841609,1,5.56267
3.038806,1,5.612128
3.721023,1,5.660932
2.787275,1,5.719262
1.74597,1,5.757421
2.363915,1,5.793916
2.603686,1,5.839084
1.819232,1,5.8762
3.386209,1,5.91274
3.113107,1,5.96015
2.158707,1,6.022238
2.723824,1,6.059118
3.236456,1,6.096635
3.804669,1,6.133407
2.22096,1,6.170921
2.351282,1,6.207439
4.038493,1,6.242766
5.862094,1,6.287057
2.267155,1,6.324208
4.221212,1,6.36197
2.869587,1,6.399903
4.863489,1,6.438931
2.38738,1,6.475904
2.136803,1,6.512252
2.797365,1,6.548918
2.138082,1,6.585134
3.407982,1,6.622325
3.24422,1,6.658334
2.186543,1,6.703941
2.333114,1,6.743159
2.158539,1,6.839188
4.088313,1,6.875928
1.759201,1,6.912399
2.516662,1,6.948955
3.195102,1,6.985113
2.246275,1,7.021829
4.83464,1,7.068336
4.615079,1,7.105996
5.426875,1,7.141919
2.146606,1,7.186258
2.385898,1,7.223941
2.403271,1,7.271456
2.857772,1,7.309402
3.5604,1,7.346714
2.906388,1,7.384003
2.020048,1,7.431585
4.990955,1,7.469485
2.558764,1,7.516324
1.959853,1,7.55356
3.449308,1,7.613624
2.671536,1,7.659901
2.336289,1,7.696775
2.350893,1,7.733569
2.322778,1,7.770507
2.17345,1,7.807292
4.03558,1,7.844794
1.976585,1,7.882073
3.84861,1,7.918218
1.863561,1,7.955366
2.541389,1,7.992168
3.504398,1,8.051354
2.784484,1,8.095002
4.645866,1,8.131572
7.602553,1,8.178917
2.532877,1,8.238384
3.259483,1,8.289063
4.762043,1,8.338374
2.579491,1,8.398654
2.048699,1,8.468324
3.120902,1,8.517439
2.169536,1,8.553843
2.526216,1,8.622836
3.64116,1,8.667697
2.217907,1,8.704146
1.837186,1,8.741887
1.834089,1,8.779329
3.475751,1,8.838048
1.989022,1,8.885939
3.105713,1,8.934438
4.454955,1,8.982064
2.59889,1,9.030008
2.735804,1,9.078379
4.966634,1,9.158086
3.163175,1,9.201752
3.014387,1,9.238546
1.860846,1,9.275031
6.020028,1,9.320534
2.207105,1,9.406166
2.346306,1,9.444008
2.085343,1,9.481708
2.775937,1,9.51826
2.778468,1,9.55439
6.039929,1,9.59219
3.446003,1,9.633118
3.457047,1,9.689342
2.045203,1,9.727175
2.226278,1,9.764817
3.323018,1,9.811513
1.721557,1,9.849161
2.178875,1,9.886436
2.213635,1,9.923387
2.862345,1,9.961728
2.302236,1,9.999708
2.622136,1,10.03809
2.254255,1,10.139407
4.838816,1,10.182646
2.099285,1,10.228971
2.399787,1,10.306993
2.303679,1,10.343256
2.26212,1,10.379364
2.587697,1,10.416279
4.134512,1,10.453305
3.186085,1,10.490367
4.353241,1,10.527143
2.545378,1,10.565421
2.29191,1,10.623954
1.842064,1,10.679376
3.346866,1,10.727196
2.222571,1,10.776091
3.705501,1,10.824366
3.824041,1,10.872992
1.842579,1,10.928798
3.402768,1,11.003477
1.729922,1,11.039465
2.313668,1,11.085806
2.656972,1,11.123784
4.232112,1,11.204051
3.935684,1,11.258316
1.962016,1,11.30565
2.941445,1,11.343141
2.925235,1,11.421803
3.267539,1,11.459659
2.950041,1,11.541795
3.198058,1,11.606628
1.707857,1,11.643875
2.538109,1,11.681495
1.976706,1,11.718775
2.271323,1,11.745744
4.102768,1,11.79178
2.455713,1,11.829602
1.724332,1,11.867529
2.055672,1,11.90521
3.304673,1,11.94197
3.678156,1,11.979516
3.520286,1,12.017392
2.12649,1,12.053965
1.950711,1,12.091401
2.450152,1,12.129845
2.851823,1,12.15464
1.842294,1,12.198341
2.638196,1,12.235671
3.933805,1,12.273002
2.122405,1,12.309365
1.575897,1,12.409536
3.923203,1,12.500541
2.758245,1,12.547279
2.817413,1,12.584185
2.221102,1,12.62123
3.078052,1,12.658151
2.66117,1,12.716512
1.649634,1,12.771003
3.564342,1,12.808636
1.700808,1,12.845289
2.222697,1,12.882684
2.273429,1,12.920841
2.866963,1,12.957626
1.989272,1,12.99507
2.493335,1,13.032663
1.883019,1,13.069965
1.927977,1,13.116243
3.430428,1,13.140241
2.756516,1,13.184932
1.993214,1,13.221421
2.196151,1,13.267303
1.733928,1,13.313188
2.324041,1,13.350203
1.872927,1,13.387064
2.374952,1,13.424168
2.63898,1,13.460912
3.201089,1,13.497412
3.493234,1,13.534122
9.438688,1,13.593071
2.725688,1,13.637674
3.165126,1,13.676155
2.871343,1,13.734336
5.263611,1,13.782069
3.698973,1,13.831098
3.665234,1,13.890193
2.636179,1,13.939194
2.784307,1,14.028821
3.198491,1,14.121894
6.32881,1,14.1591
3.120828,1,14.250898
2.858098,1,14.308645
2.293015,1,14.363949
3.231354,1,14.454612
3.931266,1,14.492645
2.046958,1,14.529195
3.473568,1,14.567157
2.106319,1,14.603632
3.069567,1,14.641413
1.900611,1,14.678641
3.614652,1,14.715375
2.146331,1,14.740933
2.360032,1,14.786139
2.736853,1,14.822427
3.512172,1,14.859342
4.515352,1,14.896702
2.355786,1,14.943056
6.078538,1,14.979275
4.297848,1,15.016859
2.833974,1,15.054117
2.106089,1,15.091455
4.042978,1,15.128993
1.986322,1,15.179372
2.913849,1,15.235543
1.929078,1,15.284775
3.638415,1,15.332798
2.434796,1,15.415717
2.802564,1,15.452855
2.719154,1,15.489877
2.225334,1,15.536517
2.066407,1,15.626661
3.103098,1,15.674448
3.256758,1,15.711983
4.287764,1,15.746713
1.836289,1,15.791328
2.656703,1,15.828433
2.002049,1,15.866459
2.427905,1,15.904115
2.154304,1,15.962615
3.03538,1,16.001089
2.058863,1,16.039221
3.52143,1,16.097505
2.710055,1,16.135662
2.631479,1,16.173519
2.862178,1,16.264635
2.241478,1,16.308144
2.516546,1,16.344864
3.373798,1,16.380995
3.664805,1,16.418752
3.135521,1,16.455794
1.856062,1,16.492951
3.314736,1,16.529341
3.639784,1,16.587198
2.615553,1,16.656195
2.773158,1,16.693449
2.849647,1,16.751993
2.864558,1,16.816723
2.823724,1,16.854461
3.180318,1,16.891519
2.372288,1,16.92819
2.407221,1,16.975627
2.499655,1,17.012262
3.834745,1,17.049278
2.739516,1,17.085912
1.724034,1,17.123122
5.827304,1,17.160246
1.964592,1,17.219383
2.556216,1,17.28369
2.526307,1,17.321328
3.111781,1,17.357049
2.585654,1,17.393447
5.148341,1,17.430623
2.271361,1,17.468304
4.760229,1,17.505542
3.085067,1,17.54268
2.325259,1,17.627272
2.874759,1,17.664722
4.71587,1,17.693537
2.039246,1,17.738448
2.111852,1,17.775834
4.27604,1,17.813567
1.838284,1,17.85165
1.997204,1,17.889329
2.112342,1,17.927299
2.573713,1,17.96395
2.707535,1,18.000777
3.502149,1,18.037338
2.933721,1,18.074015
3.161058,1,18.099224
3.596376,1,18.142908
1.542493,1,18.181501
1.974085,1,18.218826
2.613483,1,18.311296
4.089236,1,18.348493
2.244619,1,18.396552
3.163731,1,18.433985
1.737884,1,18.472326
2.402374,1,18.508848
4.220767,1,18.566934
2.334534,1,18.648251
2.940198,1,18.692098
3.542482,1,18.729776
2.578569,1,18.766984
2.547624,1,18.804894
2.820161,1,18.892167
1.691646,1,18.928993
2.278728,1,18.96661
4.07885,1,19.003315
3.017118,1,19.040035
3.468493,1,19.076659
4.368241,1,19.100964
2.986611,1,19.145068
3.629673,1,19.183069
4.032499,1,19.220394
10.310798,1,19.258085
4.079588,1,19.315584
2.482725,1,19.363762
1.906641,1,19.411563
3.276499,1,19.458672
2.399594,1,19.504981
3.007521,1,19.541593
2.688318,1,19.567239
2.486729,1,19.611335
5.415765,1,19.648801
2.9752,1,19.685176
1.393412,1,19.732366
1.996023,1,19.768901
2.633327,1,19.805871
2.230855,1,19.842381
3.534201,1,19.879757
8.080226,1,19.917456
1.831332,1,19.955275
2.747155,1,19.992072
3.834672,1,20.037087
5.117711,1,20.075667
3.138944,1,20.113889
1.959759,1,20.15187
2.138687,1,20.188075
9.708761,1,20.224789
2.165795,1,20.262305
5.586022,1,20.299964
2.335317,1,20.3376
2.169526,1,20.375143
3.357082,1,20.40062
2.08656,1,20.444469
2.870887,1,20.481396
3.627089,1,20.518097
2.825918,1,20.555268
3.797647,1,20.602983
2.440818,1,20.640391
3.291602,1,20.677592
2.871804,1,20.715073
5.275346,1,20.75219
2.808899,1,20.789435
2.440318,1,20.828426
2.398147,1,20.885005
1.760064,1,20.923559
2.377321,1,20.961205
2.717221,1,20.999126
1.705546,1,21.036703
8.028344,1,21.084979
3.646758,1,21.122449
1.996917,1,21.15971
3.894061,1,21.196904
1.720949,1,21.234811
2.224055,1,21.258893
3.890207,1,21.303567
3.520197,1,21.340466
2.132144,1,21.379393
3.349849,1,21.46264
2.895974,1,21.548306
2.451935,1,21.584978
1.76408,1,21.620863
2.905927,1,21.657623
2.364442,1,21.694232
2.139206,1,21.732856
4.195324,1,21.815375
2.695644,1,21.913436
2.396557,1,21.950825
2.124463,1,21.98867
2.107641,1,22.027878
2.536343,1,22.12036
2.053545,1,22.166222
2.915235,1,22.250487
3.462534,1,22.287614
1.942599,1,22.324527
2.976334,1,22.371185
2.425014,1,22.39626
2.167102,1,22.440655
2.243421,1,22.478078
2.573721,1,22.515038
2.072822,1,22.552115
3.694068,1,22.589412
1.695228,1,22.668944
2.686137,1,22.706056
2.222948,1,22.797285
2.348027,1,22.844932
2.698191,1,22.881977
2.898541,1,22.922987
2.340718,1,22.981829
2.26704,1,23.01843
3.440739,1,23.055182
2.725571,1,23.092062
3.816094,1,23.129509
2.556209,1,23.17861
2.266255,1,23.214936
5.636133,1,23.251964
4.673092,1,23.299152
3.997647,1,23.347767
2.044418,1,23.416706
3.326538,1,23.474071
1.853727,1,23.510767
1.944603,1,23.547998
5.130639,1,23.586107
2.227727,1,23.624112
2.448926,1,23.683394
2.627959,1,23.753985
3.396656,1,23.802153
3.97484,1,23.83959
3.233703,1,23.877674
2.616627,1,23.902568
1.799466,1,23.947238
3.044015,1,23.983706
1.751591,1,24.021181
1.727755,1,24.059027
3.436906,1,24.095573
2.053494,1,24.144192
2.244541,1,24.193322
2.210254,1,24.242249
4.205313,1,24.290519
2.190617,1,24.32748
1.69909,1,24.38382
3.651997,1,24.453344
3.493493,1,24.490144
3.088454,1,24.527969
2.042246,1,24.565858
4.036738,1,24.60439
2.36839,1,24.662327
2.548226,1,24.710521
2.145254,1,24.759337
4.25754,1,24.818726
4.216033,1,24.856112
4.499521,1,24.916696
2.892734,1,24.961243
1.889166,1,24.998387
2.839057,1,25.035899
2.821712,1,25.073611
2.566067,1,25.111116
1.884733,1,25.148778
2.090373,1,25.186144
2.469693,1,25.222562
4.524861,1,25.259096
3.557333,1,25.29665
5.287244,1,25.323239
2.672061,1,25.36893
3.789979,1,25.406359
4.380521,1,25.444027
3.705306,1,25.481282
3.450041,1,25.518467
3.115119,1,25.575696
3.483616,1,25.61344
1.922679,1,25.66108
2.460867,1,25.699772
2.278323,1,25.73694
3.89516,1,25.796089
2.871133,1,25.871929
2.011869,1,25.918877
3.386105,1,25.954912
5.682613,1,25.991409
1.723846,1,26.029001
4.933595,1,26.087165
3.375933,1,26.137026
2.169275,1,26.206855
