#{"t_start": 1655807339.7475255, "env_id": "IK-Gazebo-v0"}
r,l,t
3.232901,1,2.931358
2.918352,1,2.994101
2.441052,1,3.049778
2.04622,1,3.104074
2.724443,1,3.164448
2.319344,1,3.211283
2.062869,1,3.287527
1.966173,1,3.342355
1.674437,1,3.390894
3.920355,1,3.460282
2.172413,1,3.521607
2.272469,1,3.571647
1.573253,1,3.619917
2.373085,1,3.667737
2.411203,1,3.733642
2.795525,1,3.779362
2.381642,1,3.845747
2.218768,1,3.89175
2.319286,1,3.939562
1.709023,1,3.982259
2.50404,1,4.028709
2.295609,1,4.117208
2.052959,1,4.183477
1.811554,1,4.240877
3.697784,1,4.291532
3.821282,1,4.351498
3.320497,1,4.415259
2.22655,1,4.465807
2.044926,1,4.514803
3.64355,1,4.602655
1.83082,1,4.646507
2.298856,1,4.716312
1.889994,1,4.767546
2.105618,1,4.843634
3.273643,1,4.920447
3.323261,1,4.966245
3.804187,1,5.024338
2.487955,1,5.074695
2.712008,1,5.142035
3.525853,1,5.210467
2.119141,1,5.261857
1.988014,1,5.313365
2.84603,1,5.36501
2.055051,1,5.422522
2.397322,1,5.472142
1.824461,1,5.51598
2.756487,1,5.582446
2.184616,1,5.640933
2.106826,1,5.710719
2.20615,1,5.775889
2.919582,1,5.824672
2.943719,1,5.912194
1.769445,1,5.980169
2.468486,1,6.033738
2.55734,1,6.100166
2.739959,1,6.215238
3.262368,1,6.26833
2.004146,1,6.334102
3.528863,1,6.40982
2.617681,1,6.464977
1.872822,1,6.518984
2.051916,1,6.567925
4.835808,1,6.61451
2.001418,1,6.672219
2.797116,1,6.73143
3.135523,1,6.791929
2.40318,1,6.843713
3.535914,1,6.892525
2.570818,1,6.945207
3.120117,1,7.002831
1.879225,1,7.052604
2.78231,1,7.125351
2.250098,1,7.185932
2.764944,1,7.252071
2.158846,1,7.309179
1.984807,1,7.378272
3.334713,1,7.433465
3.402433,1,7.508112
3.893586,1,7.567205
2.003467,1,7.612195
2.022934,1,7.66913
3.623109,1,7.737719
2.085648,1,7.784045
2.177331,1,7.834928
2.673919,1,7.904722
4.312656,1,7.953256
2.237382,1,8.005921
2.232017,1,8.073713
2.878101,1,8.125971
1.746012,1,8.183946
2.369719,1,8.251993
2.096665,1,8.305637
3.514768,1,8.357566
2.764395,1,8.407261
2.356682,1,8.461429
2.048096,1,8.505341
2.265307,1,8.56729
2.639312,1,8.622264
2.7077,1,8.67061
2.669956,1,8.718891
2.525231,1,8.769229
2.402521,1,8.816738
2.86573,1,8.882755
3.376004,1,8.93806
3.746458,1,9.023884
2.394365,1,9.068193
1.52136,1,9.115732
3.533321,1,9.161144
3.768461,1,9.233284
3.329389,1,9.300124
4.842994,1,9.404112
2.89955,1,9.478851
3.588721,1,9.549867
3.168512,1,9.595546
5.901809,1,9.65712
1.52083,1,9.703213
4.292763,1,9.810554
2.714904,1,9.873338
1.568371,1,9.915381
3.105718,1,9.971709
2.36032,1,10.023612
2.797861,1,10.085577
2.742001,1,10.145517
2.234791,1,10.222615
3.3134,1,10.311685
1.80063,1,10.361428
1.900602,1,10.409391
5.456858,1,10.457647
2.52535,1,10.508966
3.931423,1,10.577488
2.461816,1,10.628387
3.097819,1,10.682815
2.685471,1,10.799322
2.984937,1,10.858108
1.814526,1,10.913981
1.454735,1,10.963722
2.12676,1,11.052716
2.008787,1,11.137506
2.788401,1,11.187255
2.369228,1,11.23806
1.864908,1,11.295472
2.486629,1,11.382082
2.584897,1,11.446642
2.55875,1,11.512696
2.45949,1,11.564292
2.636837,1,11.630343
2.639086,1,11.700436
2.266316,1,11.770087
3.277986,1,11.827605
2.291256,1,11.908623
2.125514,1,11.981246
2.087175,1,12.042494
2.034918,1,12.111982
2.595254,1,12.201461
2.676039,1,12.296025
2.250898,1,12.347198
1.83138,1,12.396957
3.02541,1,12.464453
2.64796,1,12.514966
4.384652,1,12.594395
1.980864,1,12.659772
2.507725,1,12.71235
1.82327,1,12.818033
3.732582,1,12.881615
2.137823,1,12.935271
2.39221,1,12.988096
2.186938,1,13.042773
2.176344,1,13.093746
3.115153,1,13.145311
2.152755,1,13.196845
1.64625,1,13.265017
3.035489,1,13.319124
2.381222,1,13.417047
2.699831,1,13.476874
3.427948,1,13.544136
3.146684,1,13.624507
2.147743,1,13.700012
3.739204,1,13.786079
3.63226,1,13.870476
2.722383,1,13.936255
2.631758,1,13.995711
2.878391,1,14.055378
4.594649,1,14.122231
1.943854,1,14.176775
3.403422,1,14.236883
3.383538,1,14.306722
2.946535,1,14.35142
2.582526,1,14.396573
2.957631,1,14.461016
2.43381,1,14.528661
4.388067,1,14.585878
2.152506,1,14.652968
2.822405,1,14.702132
3.558948,1,14.760977
3.62526,1,14.805917
2.438442,1,14.86403
