#{"t_start": 1655142242.712672, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
-11.077708,11,4.205883
0.054357,1,4.268708
-0.081668,1,4.319534
0.007467,1,4.382111
-0.050572,1,4.458619
0.075915,1,4.499297
-0.013588,1,4.542541
-0.073827,1,4.61426
-0.10814,1,4.654887
-0.040309,1,4.704164
-0.078701,1,4.760381
-0.049119,1,4.833507
-0.08223,1,4.873174
-0.065989,1,4.933904
-0.056756,1,4.962157
-0.131652,1,5.005814
0.103668,1,5.045532
-0.072683,1,5.106668
-0.079232,1,5.148684
0.097763,1,5.18679
-0.025218,1,5.227242
-0.076017,1,5.258924
0.096911,1,5.291276
-0.1789,1,5.332812
0.059512,1,5.362175
0.089465,1,5.41342
-0.040545,1,5.453806
-0.016761,1,5.487388
0.062448,1,5.549994
0.037016,1,5.583965
0.086819,1,5.624688
0.014395,1,5.668494
-0.057686,1,5.729498
0.17364,1,5.77082
-0.016643,1,5.802957
-0.032238,1,5.856349
-0.010447,1,5.933178
0.006969,1,6.014966
0.084139,1,6.044601
-0.037241,1,6.087942
0.07731,1,6.14546
-0.094426,1,6.217992
-0.054547,1,6.251276
-0.080596,1,6.294625
0.10157,1,6.329792
0.037439,1,6.382289
0.000839,1,6.433255
0.052481,1,6.474736
-0.071201,1,6.522376
0.070182,1,6.592378
-0.097709,1,6.675015
0.012552,1,6.711502
0.021517,1,6.74431
0.027626,1,6.79963
-0.048,1,6.829349
0.085261,1,6.899147
-0.09913,1,6.981727
-0.035523,1,7.034882
-0.076932,1,7.068668
-0.04122,1,7.109803
-0.056342,1,7.149713
0.026384,1,7.232903
-0.023143,1,7.278238
0.203765,1,7.312103
-0.047286,1,7.416963
-0.070512,1,7.459346
-0.041221,1,7.53545
-0.06979,1,7.61743
-0.045124,1,7.650135
-0.031685,1,7.716026
-6.8e-05,1,7.757269
0.064385,1,7.806265
0.009311,1,7.851622
0.004869,1,7.936711
0.054706,1,7.964461
0.095613,1,8.016547
0.038189,1,8.098711
0.154827,1,8.141528
-0.128471,1,8.172721
0.123628,1,8.22242
0.189973,1,8.280429
-0.133725,1,8.366556
0.144518,1,8.400403
-0.088825,1,8.472589
0.021254,1,8.506597
-0.019984,1,8.550049
-0.116811,1,8.621388
-0.098012,1,8.663426
-0.01179,1,8.696939
-0.019195,1,8.745844
-0.005838,1,8.783116
-0.057933,1,8.859638
-0.0068,1,8.92679
-0.101009,1,8.965178
0.180187,1,8.995824
0.068106,1,9.045404
0.129655,1,9.0842
-0.079473,1,9.118385
-0.062367,1,9.202015
0.075944,1,9.238914
-0.025098,1,9.291892
-0.046189,1,9.326699
0.137252,1,9.360355
-0.066224,1,9.404672
-0.092727,1,9.477414
0.057446,1,9.520524
-0.128138,1,9.566953
0.109866,1,9.614828
0.012769,1,9.647186
0.060026,1,9.701413
0.108682,1,9.751241
0.011005,1,9.832962
-0.03368,1,9.863393
-0.013816,1,9.936295
-0.038158,1,10.050407
-0.05671,1,10.098905
0.002466,1,10.141918
-0.103739,1,10.204138
0.251802,1,10.244031
-0.167191,1,10.277317
0.045385,1,10.360729
-0.08807,1,10.39377
0.033538,1,10.427995
-0.059421,1,10.516282
0.015584,1,10.557288
0.054576,1,10.60161
0.195085,1,10.642796
-0.029991,1,10.690092
0.013265,1,10.762599
0.26212,1,10.806309
-0.038606,1,10.850983
-0.035302,1,10.893828
-0.088241,1,10.972359
-0.073259,1,11.005393
0.019725,1,11.048513
-0.107113,1,11.08752
0.02526,1,11.126686
0.041339,1,11.155698
-0.076172,1,11.218265
-0.022334,1,11.26395
-0.05479,1,11.348267
-0.101151,1,11.382681
0.008231,1,11.415287
0.024745,1,11.457237
-0.041436,1,11.55129
-0.067694,1,11.631628
0.052531,1,11.668627
-0.034255,1,11.720263
-0.008163,1,11.752907
0.106766,1,11.817239
-0.030997,1,11.886151
0.117631,1,11.917216
-0.084523,1,11.992483
-0.034594,1,12.06742
-0.011437,1,12.102522
-0.108527,1,12.150065
0.029406,1,12.191716
0.013583,1,12.266564
-0.083751,1,12.307862
9.4e-05,1,12.351178
0.089165,1,12.396862
0.128647,1,12.441476
-0.084679,1,12.46847
0.027456,1,12.513345
-0.060508,1,12.595534
-0.019077,1,12.635383
0.004929,1,12.674383
0.125682,1,12.717799
-0.060429,1,12.790581
-0.085925,1,12.822202
-0.107249,1,12.872161
-0.092162,1,12.923383
0.119446,1,12.962684
0.00038,1,13.046861
0.036874,1,13.090358
-0.012784,1,13.152429
0.018954,1,13.200145
0.041258,1,13.234973
-0.017486,1,13.274806
0.023992,1,13.323717
-0.072665,1,13.415283
-0.053577,1,13.477652
0.022229,1,13.550044
-0.08696,1,13.591422
-0.018468,1,13.621927
0.122189,1,13.666291
-0.038237,1,13.708586
0.161575,1,13.753368
0.005403,1,13.814594
0.048476,1,13.855967
0.015478,1,13.905613
0.000165,1,13.958174
0.009008,1,14.030962
-0.044337,1,14.083966
0.002725,1,14.127858
-0.054139,1,14.18019
0.003043,1,14.227005
0.097593,1,14.272223
-0.051708,1,14.30494
-0.05867,1,14.349339
-0.01787,1,14.401942
-0.031741,1,14.439242
0.054868,1,14.483854
0.176504,1,14.558937
0.021946,1,14.590547
-0.066809,1,14.638844
-0.050292,1,14.692525
-0.046824,1,14.769729
-0.041532,1,14.833372
-0.102401,1,14.918737
-0.10081,1,14.979487
0.085197,1,15.015356
-0.090992,1,15.062068
0.025684,1,15.136318
0.175376,1,15.1838
0.022648,1,15.232215
-0.04469,1,15.296004
-0.084234,1,15.326677
-0.046879,1,15.373855
0.212216,1,15.418567
-0.077301,1,15.533894
0.119621,1,15.569784
-0.051178,1,15.653526
-0.102087,1,15.685928
-0.011421,1,15.720965
0.078463,1,15.765722
-0.020363,1,15.814811
0.018266,1,15.866264
