#{"t_start": 1655326565.3862271, "env_id": "REACH-WO-Gazebo-v0"}
r,l,t
-3.208357,5,4.128219
-16.387416,1,4.186515
-1.087245,7,4.869319
-2.980703,5,5.333114
-9.157098,4,5.517034
-11.44619,3,5.659154
-5.324588,6,6.182948
-6.614427,5,6.426047
-11.049539,3,6.589363
-7.447529,3,6.842951
-12.095757,3,6.987906
-14.762306,2,7.094615
-1.059772,7,7.573322
-9.087836,4,7.785719
-9.013318,3,7.926523
14.512691,10,8.523909
-11.493597,3,8.690704
-7.593773,4,8.976905
-8.672353,4,9.270481
-5.929762,7,9.598047
-13.964941,2,9.81468
-3.791191,6,10.211741
-17.187793,1,10.279626
-8.981498,3,10.435459
-13.528841,2,10.53117
-11.612088,3,10.799801
-16.085935,1,10.894691
2.221663,7,11.248062
-10.270951,3,11.50934
3.967205,8,11.99657
-7.307376,4,12.269432
-1.516625,7,12.643147
1.546981,7,13.004795
-7.342489,6,13.54225
-5.18067,4,13.77475
-10.898863,3,14.038833
-8.469617,3,14.221299
-16.986414,1,14.28078
-6.352762,5,14.619273
-10.14633,3,14.878716
-1.785731,6,15.275695
-11.070749,3,15.421638
-12.586756,2,15.531042
-8.196055,5,15.88411
-11.643783,3,16.143684
-9.248302,4,16.346967
-16.062892,1,16.446795
-14.617252,2,16.652577
-13.933004,3,17.015338
-6.817072,4,17.316454
-3.508773,5,17.878076
-6.922644,5,18.224169
-13.736729,3,18.386361
3.329205,7,18.743576
-16.467047,1,18.826687
-10.695296,3,19.173086
-16.874479,1,19.267251
-8.873704,4,19.664073
5.903197,9,20.247798
-11.012828,3,20.425163
0.199837,7,20.871305
0.996167,8,21.324078
-16.005081,1,21.383921
-9.686417,4,21.690161
-1.313729,4,22.018219
9.612848,8,22.514008
-16.40188,1,22.576923
-10.729933,3,22.931891
-1.737448,5,23.283668
-2.274009,5,23.554146
-13.924176,2,23.76637
-9.832309,3,23.933503
-7.035469,3,24.086102
-14.464073,2,24.296236
-14.955615,2,24.498259
-16.517552,1,24.558367
-5.894538,4,24.801376
-15.49337,1,24.864593
-6.289357,3,25.016542
-17.335603,1,25.078872
-16.432458,1,25.14594
-11.940005,3,25.424
-14.041113,2,25.546898
-2.884236,6,25.86022
-11.22778,3,26.038067
16.300084,10,26.6046
-14.10694,2,26.710114
-12.386693,3,26.867674
14.980286,10,27.741926
-9.926413,4,27.936077
-11.758657,3,28.210303
-1.667886,7,28.662836
-6.538338,4,28.98036
-9.409635,3,29.159873
-12.052443,3,29.425594
-11.529425,3,29.577966
-8.311154,4,29.825548
5.52493,9,30.284592
1.567339,8,30.994983
-12.109024,3,31.173632
6.408817,7,31.649608
-16.243299,1,31.708
-8.614051,3,31.894501
-3.850088,5,32.196898
-4.018327,5,32.550449
-6.009304,5,32.838564
-17.281855,1,32.896051
-9.503934,3,33.042615
