#{"t_start": 1656361316.4702802, "env_id": "IK-Gazebo-v0"}
r,l,t
14.461462,1,2.918908
11.835658,1,3.013349
10.960256,1,3.065146
9.205272,1,3.172386
4.201485,1,3.281801
8.17408,1,3.33296
8.170144,1,3.381787
4.527107,1,3.421131
16.956546,1,3.459613
18.693794,1,3.541286
7.78256,1,3.617198
9.474486,1,3.675403
13.931507,1,3.733226
8.017179,1,3.790994
13.151898,1,3.863758
8.135505,1,3.900439
6.366042,1,3.955585
11.889411,1,4.022939
9.797884,1,4.071262
6.131089,1,4.125722
7.535502,1,4.165723
10.697656,1,4.228536
5.955906,1,4.2591
17.573479,1,4.316491
8.487768,1,4.361628
8.552288,1,4.404521
8.317736,1,4.440886
13.388009,1,4.499253
8.405959,1,4.533744
12.590792,1,4.567641
7.114771,1,4.606925
4.624365,1,4.712443
9.184272,1,4.759691
6.308756,1,4.790962
15.911404,1,4.826482
5.378961,1,4.880262
9.039188,1,4.92078
11.744392,1,4.966319
7.418566,1,5.038191
19.797322,1,5.074139
6.946704,1,5.117807
5.042843,1,5.157234
15.917384,1,5.227593
5.233812,1,5.276053
4.0231,1,5.315355
13.715978,1,5.357422
16.910155,1,5.465575
13.168717,1,5.596169
6.0078,1,5.657723
5.200709,1,5.718749
9.143553,1,5.792766
8.738431,1,5.905122
4.778093,1,5.976885
14.078615,1,6.051698
6.894467,1,6.096794
8.37062,1,6.147542
10.674445,1,6.225138
4.877574,1,6.284048
9.330809,1,6.324421
9.91747,1,6.399796
11.101089,1,6.471983
6.197121,1,6.544362
13.879468,1,6.643317
9.585445,1,6.702034
16.74012,1,6.740754
24.169643,1,6.817278
21.334601,1,6.888091
23.963083,1,6.947888
8.341767,1,6.988731
11.46024,1,7.042181
8.188465,1,7.08509
11.326185,1,7.141248
21.471024,1,7.176888
23.391327,1,7.212357
4.846216,1,7.269506
6.710624,1,7.307813
13.561156,1,7.376124
12.381882,1,7.445077
16.129704,1,7.501967
5.573335,1,7.539819
5.465122,1,7.58264
8.251174,1,7.620036
5.431624,1,7.678834
12.959941,1,7.751475
5.699895,1,7.79633
14.305151,1,7.855921
10.213294,1,7.92736
6.324907,1,7.977716
9.88467,1,8.014012
5.545907,1,8.048468
6.908423,1,8.08585
9.605751,1,8.15528
25.451991,1,8.225615
12.290432,1,8.286735
7.663022,1,8.324757
6.867796,1,8.362164
12.45144,1,8.410541
7.324026,1,8.447712
11.661089,1,8.49481
7.150683,1,8.618745
12.193588,1,8.684253
13.44937,1,8.753178
7.070219,1,8.790314
9.850668,1,8.826078
16.641559,1,8.885617
17.416082,1,8.92627
5.968185,1,8.960197
8.205532,1,9.006778
18.859962,1,9.105505
9.327286,1,9.145504
27.503936,1,9.196442
22.945161,1,9.255243
9.889247,1,9.29467
8.04529,1,9.346295
