#{"t_start": 1656391898.7178478, "env_id": "IK-Gazebo-v0"}
r,l,t
26.394971,1,4.061172
40.801014,1,4.114617
25.116624,1,4.163115
52.596665,1,4.211992
15.281806,1,4.271224
22.810611,1,4.321496
23.579767,1,4.373904
13.891681,1,4.44365
38.626652,1,4.514372
81.053823,1,4.568645
7.856679,1,4.634549
28.665288,1,4.694828
38.41076,1,4.752036
10.80855,1,4.813023
41.264611,1,4.873816
45.69391,1,4.934844
24.675663,1,4.99638
34.564556,1,5.069189
22.01332,1,5.137299
15.302922,1,5.202548
12.420327,1,5.314692
34.411132,1,5.381283
21.335781,1,5.446932
193.819468,1,5.511127
39.904024,1,5.57054
9.635794,1,5.652263
82.407318,1,5.726656
60.389412,1,5.786081
32.528891,1,5.844009
55.762316,1,5.91654
56.00547,1,5.990838
21.268061,1,6.053171
12.45493,1,6.15531
9.642837,1,6.260331
16.71121,1,6.385722
65.043683,1,6.447128
56.733308,1,6.50953
17.991396,1,6.583653
16.213691,1,6.658021
283.508089,1,6.728978
17.51592,1,6.797817
17.415715,1,6.859716
33.710832,1,6.92375
18.297956,1,6.992278
10.188786,1,7.128319
49.633227,1,7.203673
13.333401,1,7.293101
49.634593,1,7.350708
11.273203,1,7.500206
23.369557,1,7.570044
14.955522,1,7.659795
8.797075,1,7.741015
6.631194,1,7.802953
49.492948,1,7.866127
34.426592,1,7.921667
13.624639,1,8.002398
10.79485,1,8.083689
17.516513,1,8.145354
83.113751,1,8.216248
10.12546,1,8.302643
26.758494,1,8.366457
12.432156,1,8.451354
38.793184,1,8.501371
26.074024,1,8.571015
243.258049,1,8.638085
202.708536,1,8.704987
205.954593,1,8.776362
128.829284,1,8.844292
69.776859,1,8.906861
84.81129,1,8.97503
11.273711,1,9.042723
11.427657,1,9.133514
24.21748,1,9.228513
24.394545,1,9.280781
9.343618,1,9.340595
115.671306,1,9.416584
69.768756,1,9.471134
27.219307,1,9.522808
204.908861,1,9.596323
6.976884,1,9.673024
61.93147,1,9.739669
19.980614,1,9.796445
19.898594,1,9.855208
49.520809,1,9.913456
25.003929,1,9.970802
37.722914,1,10.037327
10.393396,1,10.180365
8.461688,1,10.271231
39.857991,1,10.328089
6.921473,1,10.408899
20.205643,1,10.471792
9.735139,1,10.555291
233.386136,1,10.617062
49.238333,1,10.680897
23.516496,1,10.737388
12.08098,1,10.824413
12.529334,1,10.895854
13.089435,1,10.954417
39.404057,1,11.011151
14.25247,1,11.069612
48.328705,1,11.127403
13.600232,1,11.208108
17.448905,1,11.295913
30.136684,1,11.365025
285.73138,1,11.428838
25.595702,1,11.492733
17.232637,1,11.546006
139.814918,1,11.603491
25.120894,1,11.658412
38.9986,1,11.725851
334.545835,1,11.792366
74.09674,1,11.862665
34.910887,1,11.918469
118.481215,1,11.970256
877.525116,1,12.02726
55.283706,1,12.09799
75.478071,1,12.173538
1000.503536,1,12.236588
8.267885,1,12.31475
9.774837,1,12.386601
48.895019,1,12.439281
9.884083,1,12.520584
16.954011,1,12.574949
23.083076,1,12.626163
27.004575,1,12.689806
9.826492,1,12.798282
81.567064,1,12.884375
151.469944,1,12.953336
18.27224,1,13.028929
101.103392,1,13.092819
21.993889,1,13.152206
54.437059,1,13.208656
82.532813,1,13.284433
179.636114,1,13.351138
16.665005,1,13.414341
11.711545,1,13.478139
88.076268,1,13.561589
50.753488,1,13.619074
39.875191,1,13.669072
57.890548,1,13.726126
17.223375,1,13.797598
60.204406,1,13.854398
14.351405,1,13.926208
14.977671,1,13.992419
34.945816,1,14.067197
38.515073,1,14.134533
58.568845,1,14.198025
55.196768,1,14.272684
10.203537,1,14.361935
53.117143,1,14.430742
12.960955,1,14.494171
37.981494,1,14.566059
33.941604,1,14.636341
10.840497,1,14.710429
89.259003,1,14.777742
10.43439,1,14.865615
11.635797,1,14.941026
34.022089,1,14.993437
43.130072,1,15.062283
51.239731,1,15.130479
29.248372,1,15.196688
