#{"t_start": 1655841914.1969235, "env_id": "IK-Gazebo-v0"}
r,l,t
11.381417,1,3.146371
11.539596,1,3.202334
10.915004,1,3.27088
7.533901,1,3.321827
7.683166,1,3.416074
11.298547,1,3.510603
5.849772,1,3.568597
6.617928,1,3.61713
6.358314,1,3.67664
18.437938,1,3.738545
7.760076,1,3.796534
9.348566,1,3.85425
4.378269,1,3.947668
6.598876,1,3.99792
12.954926,1,4.067871
12.692124,1,4.136307
8.333396,1,4.216434
6.029158,1,4.263211
6.54232,1,4.331112
4.798791,1,4.384229
8.744256,1,4.433254
9.139538,1,4.490212
6.956936,1,4.547546
4.061432,1,4.599476
15.329225,1,4.686315
9.517571,1,4.76301
16.211507,1,4.835321
5.536659,1,4.903543
9.489139,1,4.97349
24.866657,1,5.02684
6.272806,1,5.096532
6.882677,1,5.176656
6.841455,1,5.239496
9.511558,1,5.328684
16.546377,1,5.397621
12.848131,1,5.457734
15.930704,1,5.519976
8.389092,1,5.579218
7.404646,1,5.659472
10.604435,1,5.709663
8.616856,1,5.763814
5.544154,1,5.818582
11.401886,1,5.870295
7.082991,1,5.927232
9.333816,1,5.984421
5.947895,1,6.055404
9.173059,1,6.143243
13.037272,1,6.218078
11.138811,1,6.316191
6.793049,1,6.367978
15.062453,1,6.443726
8.753928,1,6.50967
5.880241,1,6.577459
6.535612,1,6.626359
13.704561,1,6.732777
13.429093,1,6.800233
12.763448,1,6.850197
5.350258,1,6.901581
19.671037,1,6.972919
13.283161,1,7.038778
5.618072,1,7.094494
3.734021,1,7.149149
28.542937,1,7.199851
7.378675,1,7.249469
9.035814,1,7.304169
8.383795,1,7.364112
7.274833,1,7.411998
15.184446,1,7.467693
6.726451,1,7.531896
10.302356,1,7.586424
4.476972,1,7.665933
4.02428,1,7.763846
4.338439,1,7.821644
10.178697,1,7.869323
5.957871,1,7.991351
5.18095,1,8.046668
13.735455,1,8.107695
6.154581,1,8.163817
17.06991,1,8.240689
4.833456,1,8.297568
6.433943,1,8.369642
10.189957,1,8.434577
4.806666,1,8.492583
5.220539,1,8.552399
6.359797,1,8.614042
9.174629,1,8.67119
8.187034,1,8.735694
5.173248,1,8.792295
7.050433,1,8.849944
3.430578,1,8.9058
9.277267,1,8.977595
6.712104,1,9.039681
21.684548,1,9.130392
8.874801,1,9.185488
5.662095,1,9.252215
11.801117,1,9.340944
8.723956,1,9.390271
9.161473,1,9.445699
8.169182,1,9.510732
5.365797,1,9.574499
11.935828,1,9.632202
8.934986,1,9.689482
13.596099,1,9.747784
13.757199,1,9.809668
8.491199,1,9.867567
5.951872,1,9.945724
4.693984,1,10.00433
21.692205,1,10.094306
5.915992,1,10.16189
25.006653,1,10.215908
88.763197,1,10.2747
76.484618,1,10.35832
10.918064,1,10.410344
11.233071,1,10.468557
22.507152,1,10.532224
11.231981,1,10.603321
35.786834,1,10.684913
10.931789,1,10.750589
6.493696,1,10.802372
12.519929,1,10.858624
17.808108,1,10.917546
10.793526,1,10.993252
11.042237,1,11.059026
11.829461,1,11.124939
9.347322,1,11.200493
7.064284,1,11.27813
38.325129,1,11.341804
17.475704,1,11.395444
10.442736,1,11.471501
32.897791,1,11.545956
10.662957,1,11.600735
21.364997,1,11.658523
16.977686,1,11.729892
24.823467,1,11.802667
9.232737,1,11.859832
4.77515,1,11.918673
11.650299,1,11.991818
6.421962,1,12.061935
15.095203,1,12.144028
39.384533,1,12.207202
9.107001,1,12.288639
12.636499,1,12.357295
11.45374,1,12.415938
8.09263,1,12.498171
