#{"t_start": 1656096477.9786122, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
-2.161899,59,6.526272
-1.602191,23,7.995923
-1.832012,43,10.590542
-1.727482,36,12.769633
-1.144672,13,13.643739
-1.13864,13,14.453263
-1.073349,10,15.15159
-1.276782,15,16.126427
-1.436579,26,17.758434
-1.647958,34,19.858789
-2.07501,63,24.031571
-1.236487,12,24.819184
-0.946177,5,25.19057
-1.126956,12,26.006332
-0.989789,9,26.597799
-1.153618,14,27.56521
-1.424101,25,29.298878
-2.199442,100,35.510001
-1.947452,100,41.690005
-2.265797,100,47.694408
-2.151163,100,53.87538
-2.188063,100,60.260876
-2.793344,100,67.006013
-1.39219,33,69.891829
-2.470129,71,74.586392
-1.901745,100,81.148983
-1.997401,100,87.751924
-2.035607,100,94.629153
-1.720623,41,97.287214
-1.681135,38,99.701762
-2.158599,100,106.455535
-1.413099,24,108.400394
-1.750954,33,110.513366
-2.313677,100,117.211415
-2.160787,100,123.708359
-2.056296,100,130.456732
-1.878233,43,133.390148
-1.240363,16,134.463993
-1.463424,23,136.018154
-1.389905,20,137.40849
-2.456676,77,142.859107
-1.869529,100,149.738034
-1.883135,100,156.251759
-1.693463,40,158.879263
-1.305759,26,160.664735
-0.026835,24,162.384993
-1.080102,14,163.468032
-1.404457,32,165.583572
-1.981556,60,169.498562
-2.609621,70,174.060206
-1.607882,38,176.491009
-2.09746,54,179.905491
-2.150577,58,184.059915
-2.168525,100,190.809455
-1.613841,40,193.451143
-1.908499,100,199.645599
-1.766882,45,202.442639
-2.086964,57,206.018567
-1.846437,52,209.231586
-2.030553,100,215.539307
-1.980773,100,221.763542
-2.503547,85,227.069327
-2.064353,100,233.343254
-1.710572,49,236.505688
-2.513811,82,241.812623
-2.60679,68,246.557951
-1.761039,100,253.086896
-1.933919,57,257.013015
-2.08603,100,263.569014
-1.953955,100,270.052158
-1.822769,100,276.462329
-1.801527,100,282.905503
-1.834928,100,289.923874
-1.833993,100,296.187552
-1.826832,100,302.437672
-2.004746,59,306.209731
-3.233294,70,310.768137
-1.864892,100,317.069225
-1.871357,100,323.427583
-1.677111,39,326.008578
-1.841593,100,332.395075
-1.919402,100,338.788646
-1.843709,100,345.320331
-1.814731,100,351.689614
-2.489699,85,357.1519
-1.933318,100,363.698883
-1.706529,43,366.417439
-2.09921,62,370.408453
-1.881694,100,376.756631
-2.060669,100,383.050185
-2.061816,56,386.607649
-1.99704,100,392.831038
-2.103263,66,397.005517
-1.889354,100,403.256431
-1.881857,100,409.502434
-1.941925,100,415.819764
-2.029596,100,422.071357
-2.066773,100,428.449474
-1.920552,100,434.973758
-1.957045,100,441.425
-1.772154,47,444.421631
-1.291939,25,446.034601
-2.008419,60,449.889143
-1.975827,100,456.137709
-1.88116,100,462.506618
-2.393264,79,467.609747
-1.174331,20,468.927282
-1.385744,31,470.912175
-1.836723,100,477.190106
-1.272739,21,478.613937
-1.021646,11,479.365533
-1.108971,12,480.162018
1.197924,5,480.525102
-1.024574,15,481.508847
-1.444995,36,483.802994
-1.83457,100,490.32547
-1.380695,32,492.339349
-0.748943,2,492.524364
-1.199938,18,493.705262
1.043298,12,494.469473
-1.533081,34,496.711394
-1.870066,100,502.911814
-1.986275,100,508.9795
-1.686005,100,515.201102
-1.425367,30,517.060088
-1.714842,39,519.508099
-1.934947,100,525.683956
-1.25228,25,527.306382
-1.2875,21,528.606663
-1.90716,100,534.787139
-2.141529,62,538.608014
-1.058073,15,539.581532
-1.579482,47,542.577811
0.864619,23,544.052213
-1.157478,18,545.181568
-2.474447,84,550.513407
-1.860629,57,554.099367
-1.124255,19,555.297154
-2.042711,100,561.606484
-2.668073,90,567.17295
-2.145962,100,573.334988
-2.134524,100,579.445743
-2.144044,100,585.63396
-1.914601,100,591.89706
-2.062664,100,598.213722
-2.039985,100,604.531001
-1.768444,100,610.958511
-1.638906,39,613.60304
-2.062392,52,616.916426
-1.656464,40,619.492266
-1.840657,100,625.801486
-2.406522,84,631.035474
-1.030308,12,631.798633
-1.920012,100,638.026265
-1.275501,17,639.150009
-1.76798,100,645.443339
-1.20188,31,647.380903
-2.071728,100,653.741529
-1.910504,100,660.028774
